타깃,정의,정확도,F1(macro),기준선 F1,F1 개선,학습(초)
jam_abs,절대정체 (전체 트립 평균속도 하위 33%),0.7964,0.7651,0.3966,0.3685,3.8
jam_rel,상대정체 (동일 경로 평소 속도 대비 하위 33%),0.7339,0.6575,0.4002,0.2573,3.9
