변수,trip_distance,duration_min,speed_mph,fare_amount,tip_amount,total_amount,passenger_count
trip_distance,1.0,0.7917994000596431,0.6737003172401437,0.9382786305682097,0.6289863307523896,0.9268062119288996,0.04964384288211902
duration_min,0.7917994000596431,1.0,0.20618137863778452,0.8745749838324564,0.578886725730016,0.8477899222678301,0.04421386423941695
speed_mph,0.6737003172401437,0.20618137863778452,1.0,0.5321758378849547,0.35022016164787745,0.5354762055377661,0.01918281139645822
fare_amount,0.9382786305682097,0.8745749838324564,0.5321758378849547,1.0,0.6633245811989071,0.9775500793133066,0.05892744695698062
tip_amount,0.6289863307523896,0.578886725730016,0.35022016164787745,0.6633245811989071,1.0,0.7764551184050549,0.02599197376627921
total_amount,0.9268062119288996,0.8477899222678301,0.5354762055377661,0.9775500793133066,0.7764551184050549,1.0,0.056082954213808316
passenger_count,0.04964384288211902,0.04421386423941695,0.01918281139645822,0.05892744695698062,0.02599197376627921,0.056082954213808316,1.0
