변수,건수,평균,표준편차,최솟값,25%,중앙값,75%,최댓값
trip_distance,2841553.0,3.056786626890295,3.983083117409547,0.02,1.0,1.64,3.0,47.66
duration_min,2841553.0,17.02643427731244,13.803408265091642,1.0,7.966666666666667,13.116666666666667,21.3,179.98333333333332
speed_mph,2841553.0,9.807868178975562,5.767444589005702,1.0,6.215827338129495,8.451467268623025,11.523178807947021,69.75143403441683
fare_amount,2841553.0,18.815376162260566,15.875019268089625,0.01,9.3,13.5,21.2,615.0
tip_amount,2841553.0,3.7905331415602666,3.866842204113644,0.0,1.74,3.03,4.71,222.0
total_amount,2841553.0,28.6477626283937,20.7516423122426,1.01,16.8,21.9,30.78,623.0
passenger_count,2841553.0,1.248378615496526,0.6403019185672679,0.0,1.0,1.0,1.0,8.0
